0.58443,0.57805,0.59067,0.66033,0.60764,0.59736,0.61874,0.62618,0.63541,0.59936,0.56612,0.6136,0.58482,0.58542,0.60252,0.63117,0.61349,0.62024,0.67446,0.58315,0.58913,0.61792,0.62684,0.65618,0.56545,0.59866,0.61874,0.58629,0.63473,0.59247
0.56877,0.59092,0.61136,0.59101,0.61154,0.60475,0.61969,0.58766,0.60603,0.583,0.60751,0.54617,0.58581,0.59554,0.57091,0.61601,0.56272,0.56503,0.56506,0.5429,0.59201,0.63486,0.58652,0.60197,0.58187,0.57133,0.60649,0.59434,0.5597,0.55851
0.60762,0.68362,0.59816,0.55843,0.6011,0.6373,0.66522,0.62231,0.58376,0.58979,0.60012,0.5858,0.62247,0.61695,0.65666,0.59678,0.62027,0.65657,0.66848,0.61041,0.61145,0.60971,0.62875,0.58516,0.60814,0.60117,0.60255,0.62509,0.62174,0.62229
0.5801,0.6233,0.52941,0.57879,0.58603,0.57945,0.56889,0.55764,0.58968,0.57572,0.54815,0.58948,0.55592,0.54218,0.54174,0.63301,0.61155,0.58471,0.54802,0.57309,0.54883,0.54314,0.53135,0.56731,0.5739,0.61101,0.62948,0.51538,0.59434,0.57564
0.60746,0.6114,0.62956,0.58067,0.53855,0.56977,0.57736,0.58799,0.63446,0.57513,0.56117,0.55996,0.5936,0.55032,0.54444,0.57114,0.54456,0.57302,0.58123,0.61564,0.61255,0.53556,0.58444,0.56155,0.63638,0.58088,0.64535,0.54919,0.60251,0.6069
0.46254,0.46064,0.44341,0.41581,0.45997,0.45327,0.43126,0.45666,0.46414,0.39481,0.46395,0.43702,0.44907,0.45415,0.46025,0.45098,0.45359,0.48888,0.37928,0.42199,0.44762,0.49756,0.48998,0.46968,0.48041,0.42994,0.4167,0.47705,0.49563,0.47884
0.33564,0.28031,0.30168,0.30021,0.28333,0.26959,0.33643,0.34495,0.30687,0.29591,0.29011,0.30015,0.33568,0.32279,0.33763,0.28484,0.25534,0.28365,0.32028,0.31744,0.31673,0.24852,0.28893,0.29614,0.31012,0.31962,0.30841,0.32353,0.28872,0.31108
0.23562,0.2414,0.23906,0.22178,0.23125,0.20282,0.21255,0.23102,0.19173,0.25583,0.28693,0.24073,0.24148,0.2252,0.21568,0.22973,0.26313,0.22955,0.23725,0.23051,0.27212,0.20078,0.22588,0.22448,0.23397,0.2517,0.23508,0.18721,0.21373,0.22346
0.13147,0.13507,0.11468,0.42719,0.16224,0.38923,0.19211,0.16317,0.16135,0.22366,0.23672,0.1809,0.16091,0.42418,0.41141,0.34704,0.12442,0.38397,0.15493,0.24325,0.15773,0.63021,0.59876,0.63819,0.35519,0.18558,0.36776,0.18992,0.24294,0.251
0.5848,0.52976,0.54947,0.10945,0.1093,0.1277,0.11374,0.15744,0.14166,0.55978,0.57209,0.54612,0.06052,0.10468,0.1287,0.064264,0.053675,0.078411,0.54859,0.56133,0.55682,0.079273,0.099223,0.08172,0.10333,0.096077,0.081731,0.12147,0.19636,0.11891
0.17831,0.1833,0.28173,1.3383,1.0714,1.2242,0.2263,0.30285,0.23751,0.12741,0.096041,0.088384,0.15704,0.13875,0.10211,1.5849,1.6014,1.4657,0.68366,0.38973,0.36304,0.37719,0.39839,0.39588,0.50458,0.53949,0.61963,0.20752,0.087705,0.096254
0.46272,0.46273,0.55599,0.13453,0.081625,0.07456,0.035788,0.10587,0.051503,0.22096,0.27419,0.21256,0.094381,0.099249,0.13513,0.13125,0.16702,0.12128,0.051236,0.079014,0.052871,0.28184,0.28324,0.26541,0.36814,0.38782,0.37425,0.072195,0.053535,0.039182
0.41999,0.34026,0.44296,1.8108,1.8619,1.8167,1.0838,1.0274,0.92629,1.0001,1.0064,1.0615,0.67468,0.67127,0.66782,1.8229,1.7561,1.8246,0.50531,0.49814,0.49331,0.15269,0.074375,0.11294,0.14152,0.15078,0.14897,1.2463,1.2415,1.2281
