0.73504,0.79897,0.78192,0.68481,0.73144,0.68324,0.75024,0.73283,0.73622,0.79104,0.79595,0.77809,0.68501,0.68513,0.67624,0.71449,0.74934,0.79182,0.69694,0.7458,0.73346,0.78685,0.77776,0.82258,0.70626,0.76602,0.73885,0.73865,0.79679,0.78993
0.53645,0.52024,0.53366,0.61232,0.49563,0.56385,0.5684,0.61573,0.69384,0.53085,0.55508,0.55308,0.6256,0.59417,0.58069,0.58148,0.65225,0.61056,0.58712,0.59895,0.60992,0.59504,0.60608,0.61553,0.57387,0.61865,0.61016,0.64995,0.61435,0.6399
0.48161,0.50353,0.51324,0.45598,0.42801,0.46846,0.4698,0.50371,0.4739,0.48777,0.43742,0.48828,0.4702,0.51576,0.51352,0.48031,0.49246,0.45526,0.50183,0.48478,0.49971,0.46919,0.50937,0.52665,0.52257,0.55036,0.53257,0.51797,0.48711,0.53308
0.41842,0.42636,0.43248,0.46148,0.4201,0.42803,0.44225,0.46672,0.49875,0.42965,0.41653,0.45948,0.41809,0.45978,0.42976,0.40842,0.46485,0.45852,0.39863,0.42527,0.4626,0.46655,0.41939,0.43186,0.47622,0.42158,0.42543,0.40656,0.39863,0.39785
0.36959,0.38151,0.3483,0.36929,0.38186,0.38462,0.38774,0.38924,0.37976,0.344,0.35116,0.32508,0.39692,0.41195,0.36771,0.3491,0.38446,0.3749,0.42942,0.37657,0.39435,0.37412,0.39794,0.38547,0.3967,0.42325,0.38864,0.38786,0.40662,0.38992
0.38728,0.35575,0.3482,0.36296,0.37593,0.36699,0.34595,0.36851,0.33135,0.33932,0.35265,0.36159,0.34467,0.34234,0.36101,0.38199,0.34605,0.38894,0.35796,0.41,0.37989,0.29529,0.32969,0.32736,0.34175,0.3387,0.33004,0.38814,0.3759,0.39126
0.34851,0.36286,0.34113,0.32758,0.31746,0.31055,0.32596,0.31314,0.34013,0.33077,0.34052,0.31042,0.31049,0.34888,0.3394,0.35957,0.40011,0.35144,0.32402,0.31947,0.34768,0.34031,0.36363,0.36762,0.35532,0.33767,0.31625,0.28139,0.33129,0.30735
0.31431,0.33181,0.33614,0.30781,0.3561,0.32908,0.32832,0.35745,0.29744,0.33303,0.35766,0.36081,0.34007,0.30986,0.32746,0.31717,0.34648,0.35428,0.32973,0.32666,0.33206,0.32034,0.31682,0.32852,0.33356,0.32862,0.33088,0.3142,0.39265,0.33529
0.33046,0.30093,0.32438,0.30833,0.29112,0.33241,0.31472,0.28886,0.33277,0.31962,0.33616,0.36793,0.33042,0.33324,0.31182,0.27998,0.2859,0.32708,0.31375,0.28021,0.32719,0.33276,0.33795,0.31987,0.30476,0.27423,0.31684,0.30079,0.30436,0.30322
0.31316,0.30517,0.31526,0.297,0.29581,0.28172,0.30032,0.31177,0.27855,0.298,0.31464,0.3102,0.30719,0.27055,0.30775,0.29198,0.31542,0.3206,0.2986,0.28713,0.31228,0.32043,0.32859,0.31285,0.31721,0.29594,0.28001,0.34346,0.33384,0.3204
0.27854,0.28961,0.28991,0.28444,0.31727,0.2456,0.27537,0.29194,0.29644,0.30723,0.30572,0.29681,0.31388,0.29573,0.29248,0.2957,0.29157,0.27955,0.28649,0.28164,0.2895,0.28125,0.28624,0.2783,0.31812,0.31439,0.30283,0.2919,0.29421,0.28764
0.32721,0.3338,0.29051,0.31503,0.30687,0.2998,0.31493,0.3344,0.2925,0.27763,0.30301,0.31414,0.28459,0.30003,0.27851,0.29489,0.30915,0.28607,0.28132,0.30007,0.28728,0.32231,0.34022,0.32313,0.26225,0.28129,0.28827,0.32149,0.32645,0.30165
0.28999,0.28744,0.26527,0.3004,0.29661,0.29203,0.32162,0.29771,0.32017,0.28936,0.30069,0.3013,0.3242,0.30428,0.33338,0.2977,0.33082,0.29734,0.27051,0.2834,0.29967,0.28776,0.29547,0.31418,0.29879,0.30665,0.30179,0.29941,0.26416,0.3101
0.27225,0.27197,0.28138,0.28483,0.26797,0.27933,0.28403,0.30185,0.2958,0.27065,0.26324,0.29276,0.32935,0.31803,0.32846,0.32584,0.29009,0.2905,0.2997,0.33109,0.27383,0.26388,0.30053,0.28487,0.3025,0.27433,0.30775,0.29482,0.28055,0.27458
0.30335,0.30651,0.31614,0.28709,0.27853,0.29289,0.31246,0.31582,0.32124,0.28755,0.28237,0.28808,0.28759,0.30468,0.28943,0.30219,0.2989,0.2892,0.27437,0.28285,0.28452,0.30181,0.31647,0.30354,0.29352,0.26056,0.26056,0.30705,0.27786,0.30021
0.29619,0.2569,0.29659,0.29029,0.27412,0.28471,0.31679,0.25393,0.29572,0.27496,0.28415,0.26685,0.28901,0.28072,0.29794,0.29648,0.26427,0.29748,0.2396,0.29121,0.26897,0.27643,0.28586,0.29951,0.30798,0.27337,0.31267,0.31515,0.33416,0.28225
0.29591,0.29316,0.30965,0.29072,0.29072,0.3154,0.25919,0.28587,0.27287,0.2495,0.26007,0.28169,0.29093,0.29579,0.25453,0.24891,0.28164,0.29112,0.29547,0.27988,0.29717,0.31498,0.28289,0.30658,0.29732,0.27357,0.28897,0.28216,0.29615,0.29466
0.26855,0.2745,0.26289,0.2881,0.29175,0.33447,0.27469,0.2704,0.27979,0.27019,0.24257,0.24751,0.27204,0.29257,0.26666,0.29804,0.28785,0.3329,0.28747,0.3221,0.29692,0.24692,0.25681,0.26741,0.27271,0.28184,0.2861,0.28856,0.27003,0.27354
0.32103,0.31577,0.28522,0.26711,0.29174,0.28735,0.29772,0.28131,0.30943,0.26176,0.28432,0.25398,0.30483,0.27396,0.31144,0.28531,0.28203,0.27255,0.24122,0.27037,0.31071,0.30892,0.23248,0.239,0.27071,0.27492,0.28834,0.29594,0.29444,0.29327
0.29409,0.28556,0.25002,0.27042,0.25061,0.26022,0.29289,0.26328,0.23229,0.25198,0.25267,0.28261,0.26482,0.27378,0.26278,0.26048,0.24341,0.25669,0.23874,0.28251,0.27607,0.27372,0.27798,0.24778,0.27224,0.2651,0.27502,0.30779,0.24194,0.262
0.19936,0.2734,0.22868,0.24545,0.2306,0.26495,0.24514,0.21015,0.21449,0.23976,0.23238,0.2789,0.27247,0.26244,0.23962,0.21403,0.24707,0.25595,0.21833,0.23231,0.25738,0.26217,0.22854,0.23323,0.25252,0.26912,0.24426,0.27205,0.28048,0.24833
0.27705,0.24862,0.23639,0.23608,0.24557,0.26863,0.23012,0.2356,0.2145,0.26295,0.26301,0.21997,0.23455,0.26147,0.24689,0.2464,0.24725,0.21714,0.25052,0.2772,0.26412,0.23994,0.25978,0.21932,0.25429,0.24371,0.25374,0.28514,0.26422,0.27495
0.22835,0.21843,0.25841,0.23172,0.27307,0.2586,0.24928,0.20249,0.24968,0.22932,0.26544,0.24464,0.27904,0.26896,0.27916,0.24168,0.223,0.26247,0.27331,0.20355,0.24543,0.24479,0.24709,0.25246,0.26159,0.24355,0.26959,0.26757,0.25803,0.22998
